datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2020-05-03-03-00-00,177708,34730,170565,34730
2020-05-03-04-00-00,177708,34730,170565,34730
2020-05-03-05-00-00,177864,34757,170729,34757
2020-05-03-06-00-00,177864,34757,170729,34757
2020-05-03-07-00-00,178063,34781,170939,34781
2020-05-03-08-00-00,178063,34781,170939,34781
2020-05-03-09-00-00,178502,34810,171370,34810
2020-05-03-10-00-00,178502,34810,171370,34810
2020-05-03-11-00-00,179017,34869,171928,34869
2020-05-03-12-00-00,179017,34869,171928,34869
2020-05-03-13-00-00,179607,34933,172648,34933
2020-05-03-14-00-00,179607,34933,172648,34933
2020-05-03-15-00-00,180110,34992,173193,34992
2020-05-03-16-00-00,180110,34992,173193,34992
2020-05-03-17-00-00,180749,35077,173920,35077
2020-05-03-18-00-00,180749,35077,173920,35077
2020-05-03-19-00-00,181284,35137,174496,35137
2020-05-03-20-00-00,181284,35137,174496,35137
2020-05-03-21-00-00,182248,35225,175573,35225
2020-05-03-22-00-00,182248,35225,175573,35225
2020-05-03-23-00-00,183818,35322,177050,35322
2020-05-04-00-00-00,183818,35322,177050,35322
2020-05-04-01-00-00,185279,35454,178457,35454
2020-05-04-02-00-00,185279,35454,178457,35454
2020-05-04-03-00-00,185713,35499,178860,35499
2020-05-04-04-00-00,185713,35499,178860,35499
2020-05-04-05-00-00,185870,35526,179067,35526
2020-05-04-06-00-00,185870,35526,179067,35526
2020-05-04-07-00-00,186057,35546,179270,35546
2020-05-04-08-00-00,186057,35546,179270,35546
2020-05-04-09-00-00,186456,35597,179741,35597
2020-05-04-10-00-00,186456,35597,179741,35597
2020-05-04-11-00-00,186941,35647,180276,35647
2020-05-04-12-00-00,186941,35647,180276,35647
2020-05-04-13-00-00,187476,35696,180866,35696
2020-05-04-14-00-00,187476,35696,180866,35696
2020-05-04-15-00-00,187975,35758,181425,35758
2020-05-04-16-00-00,187975,35758,181425,35758
2020-05-04-17-00-00,188957,35892,182369,35892
2020-05-04-18-00-00,188957,35892,182369,35892
2020-05-04-19-00-00,189619,36002,182976,36002
2020-05-04-20-00-00,189619,36002,182976,36002
2020-05-04-21-00-00,190628,36094,184158,36094
2020-05-04-22-00-00,190628,36094,184158,36094
2020-05-04-23-00-00,192342,36199,185740,36199
2020-05-05-00-00-00,192342,36199,185740,36199
2020-05-05-01-00-00,193661,36322,187026,36322
2020-05-05-02-00-00,193661,36322,187026,36322
2020-05-05-03-00-00,194136,36386,187570,36386
2020-05-05-04-00-00,194136,36386,187570,36386
2020-05-05-05-00-00,194303,36413,187741,36413
2020-05-05-06-00-00,194303,36413,187741,36413
